ops: 20; NOT_COVERED: {}
iter=5280 t=5.0min rss=60084KiB fds=4
iter=5290 t=5.0min rss=60084KiB fds=4
iter=5300 t=5.0min rss=60084KiB fds=4
iter=5310 t=5.0min rss=60084KiB fds=4
iter=5320 t=5.0min rss=60088KiB fds=4
iter=5330 t=5.0min rss=60100KiB fds=4
iter=5340 t=5.0min rss=60104KiB fds=4
iter=5350 t=5.0min rss=60120KiB fds=4
iter=5360 t=5.0min rss=60120KiB fds=4
iter=5370 t=5.1min rss=60120KiB fds=4
iter=5380 t=5.1min rss=60136KiB fds=4
iter=5390 t=5.1min rss=60136KiB fds=4
iter=5400 t=5.1min rss=60140KiB fds=4
iter=5410 t=5.1min rss=60140KiB fds=4
iter=5420 t=5.1min rss=60140KiB fds=4
iter=5430 t=5.1min rss=60140KiB fds=4
iter=5440 t=5.1min rss=60140KiB fds=4
iter=5450 t=5.1min rss=60140KiB fds=4
iter=5460 t=5.1min rss=60144KiB fds=4
iter=5470 t=5.2min rss=60148KiB fds=4
iter=5480 t=5.2min rss=60160KiB fds=4
iter=5490 t=5.2min rss=60160KiB fds=4
iter=5500 t=5.2min rss=60160KiB fds=4
iter=5510 t=5.2min rss=60160KiB fds=4
iter=5520 t=5.2min rss=60176KiB fds=4
iter=5530 t=5.2min rss=60176KiB fds=4
iter=5540 t=5.2min rss=60176KiB fds=4
iter=5550 t=5.2min rss=60192KiB fds=4
iter=5560 t=5.2min rss=60528KiB fds=4
iter=5570 t=5.3min rss=60528KiB fds=4
iter=5580 t=5.3min rss=60528KiB fds=4
iter=5590 t=5.3min rss=60528KiB fds=4
iter=5600 t=5.3min rss=60528KiB fds=4
iter=5610 t=5.3min rss=60528KiB fds=4
