test	command	environment	exit	duration_s	errors	definitely_lost	log
test_aes_gcm_vaes_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_aes_gcm_vaes_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_aes_gcm_vaes_equiv.log
test_aes_gcm_neon_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_aes_gcm_neon_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_aes_gcm_neon_equiv.log
test_chacha20_x8_avx2_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_chacha20_x8_avx2_equiv		77	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_chacha20_x8_avx2_equiv.log
test_argon2_g_neon_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_argon2_g_neon_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_argon2_g_neon_equiv.log
test_argon2_g_avx2_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_argon2_g_avx2_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_argon2_g_avx2_equiv.log
test_chacha20_x8_neon_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_chacha20_x8_neon_equiv		77	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_chacha20_x8_neon_equiv.log
test_kyber_ntt_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_kyber_ntt_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_kyber_ntt_equiv.log
test_kyber_poly_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_kyber_poly_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_kyber_poly_equiv.log
test_keccak_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_keccak_equiv		77	0	0	n/a	docs/audit/logs/phaseD/valgrind/test_keccak_equiv.log
test_keccak_bmi_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_keccak_bmi_equiv		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_keccak_bmi_equiv.log
test_nistp_mont_mulx_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_nistp_mont_mulx_equiv		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_nistp_mont_mulx_equiv.log
test_sha3_wrapper_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_sha3_wrapper_equiv	AMA_DISPATCH_NO_AUTOTUNE=1	0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_sha3_wrapper_equiv.log
test_sphincs_simd_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_sphincs_simd_equiv	AMA_DISPATCH_NO_AUTOTUNE=1	0	173	0	n/a	docs/audit/logs/phaseD/valgrind/test_sphincs_simd_equiv.log
test_sha256_neon_kat	/home/user/AMA-Cryptography/build-valgrind/bin/test_sha256_neon_kat		77	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_sha256_neon_kat.log
test_sha256_dispatch_equiv	/home/user/AMA-Cryptography/build-valgrind/bin/test_sha256_dispatch_equiv		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_sha256_dispatch_equiv.log
test_platform_rand_generic	/home/user/AMA-Cryptography/build-valgrind/bin/test_platform_rand_generic		0	1	0	n/a	docs/audit/logs/phaseD/valgrind/test_platform_rand_generic.log
