--- AVX/AVX2/AVX-512 (YMM/ZMM)  (-mavx2, -mavx512f -mavx512vl) ---
    ama_sha256_compress_x86_shani                    56  kernel
--- BMI1/BMI2/ADX  (-mbmi -mbmi2, -mbmi2 -madx) ---
    ama_keccak_f1600_bmi                            108  kernel
    ama_nistp_mont_mul4_mulx                        120  kernel
    ama_x25519_fe64_mul_mulx                         59  kernel
    ama_x25519_fe64_sq_mulx                          45  kernel
--- SSSE3  (-mssse3) ---
    (none in this object)
--- SSE4.1  (-msse4.1) ---
    (none in this object)

read 491 symbol(s), 158,812 instruction(s); 25686 CPUID-gated instruction(s) across 7 ISA famil(ies), 170 symbol(s) outside a kernel

ISA SCOPING CHECK FAILED:
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_aes256_encrypt_block_consttime: 242 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_aes256_key_expansion_consttime: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ama_aes_sbox_consttime: 346 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
