--- AVX/AVX2/AVX-512 (YMM/ZMM)  (-mavx2, -mavx512f -mavx512vl) ---
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] compute_group_commitment: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] curved25519_scalarmult_basepoint: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] der_parse_integer: 7 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_invntt_scalar: 171 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_keygen_internal: 684 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_matrix_pointwise_rowwise: 164 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_ntt: 108 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_poly_uniform: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_poly_uniform_eta: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_polyeta_pack.part.0: 527 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_polyeta_unpack.isra.0: 302 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_polyvec_uniform_eta: 4 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_polyw1_pack.part.0: 355 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_pubkey_from_sk: 537 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_sample_uniform_n: 5 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_sign_internal: 1259 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dil_verify_internal: 791 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dispatch_bench_kyber_ntt.constprop.0: 256 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] dispatch_init_internal: 278 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ed25519_hash_final: 3 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ed25519_publickey: 10 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ed25519_sign: 28 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ed25519_sign_open: 40 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ed25519_sign_open_batch: 68 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] expand256_modm.constprop.1: 9 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] fe64_tobytes: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ge25519_double_scalarmult_vartime: 195 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ge25519_pack: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ge25519_scalarmult_base_niels.constprop.0: 3 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] ge25519_unpack_negative_vartime: 58 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] hmac_sha3_256: 36 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] keccak_absorb.constprop.0: 12 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_cpapke_enc: 1242 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_decapsulate_internal: 2938 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_encapsulate_internal: 8 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_gennoise: 33 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_invntt_scalar: 130 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_keygen_internal: 996 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_ntt_scalar: 353 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_poly_cbd3: 266 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_poly_cbd_eta: 472 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] kyber_poly_uniform: 2 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_bits2int: 65 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_comb_build.constprop.0: 105 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_comb_build.constprop.1: 80 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_comb_build.constprop.2: 75 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_cond_sub_mod: 76 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_der_parse_int: 60 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_ecdsa_sign_core: 768 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
  - [AVX/AVX2/AVX-512 (YMM/ZMM)] nistp_ecdsa_verify_rs: 573 occurrence(s) in a non-kernel symbol. AVX2/AVX-512 code must live in src/c/avx2 or src/c/avx512, compiled under per-file -mavx2/-mavx512. An occurrence here means the per-file scoping regressed (a library-wide -mavx2, or a direct call that let a kernel inline out of its TU): the object now executes AVX/AVX2/AVX-512 (YMM/ZMM) on a path the dispatcher never gated on a CPUID check, so it faults on a host that lacks the feature. If this symbol really is a scoped kernel helper, rename it to carry the family's marker or add it to that family's allowlist with the TU it lives in.
