id	line	col	operator	original	replacement	pytest_rc	self_run_rc	status	seconds	last_output
61	374	39	boolop	and	or	0	0	survived	1.4	..................................                                       [100%] | 34 passed in 0.29s
62	374	43	not-removal	not 		1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_verdicts[\nstatic double test_lane(int iterations) {\n    for (int i = 0; i < iterations; i++) {\n        int class_idx = rand() & 1;\n        const uint8_t *key = class_idx ? key1 : key0;\n        uint64_t start = get_time_ns();\n        crypt(key
63	376	26	compare	is	is not	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_verdicts[\nstatic double test_lane(int iterations) {\n    for (int i = 0; i < iterations; i++) {\n        int class_idx = rand() & 1;\n        const uint8_t *key = class_idx ? key1 : key0;\n        uint64_t start = get_time_ns();\n        crypt(key
64	376	34	boolop	and	or	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.23s
65	382	26	compare	is not	is	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Attr... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.22s
66	384	57	int-const	0	1	1	0	killed	1.1	FAILED tests/test_dudect_staging_gate.py::test_gate_verdicts[\nstatic double test_lane(int iterations) {\n    for (int i = 0; i < iterations; i++) {\n        int class_idx = rand() & 1;\n        const uint8_t *key = class_idx ? key1 : key0;\n        uint64_t start = get_time_ns();\n        crypt(key
67	396	28	bool-const	False	True	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.23s
68	397	12	loop-jump	continue	break	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.22s
69	400	24	bool-const	True	False	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_verdicts[\nstatic double test_lane(int iterations) {\n    for (int i = 0; i < iterations; i++) {\n        int class_idx = rand() & 1;\n        const uint8_t *key = class_idx ? key1 : key0;\n        uint64_t start = get_time_ns();\n        crypt(key
70	410	4	return-none	return violations	return None	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Type... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.21s
71	433	4	return-none	return len(_CLASS_DRAW.findall(stripped))	return None	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Type... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.21s
72	439	8	str-const	"--root"	""	1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Inde... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.22s
73	440	16	str-const	"."	""	0	0	survived	1.1	..................................                                       [100%] | 34 passed in 0.28s
74	441	13	str-const	"repository root to resolve the harness files against"	""	0	0	survived	1.1	..................................                                       [100%] | 34 passed in 0.27s
75	446	7	not-removal	not 		1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.18s
76	447	14	str-const	"FATAL: no harness files configured; this gate would pass vacuously."	""	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.31s
77	448	8	return-none	return 2	return None	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.31s
78	448	15	int-const	2	3	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.31s
79	451	15	int-const	0	1	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.32s
80	452	21	int-const	0	1	0	0	survived	1.2	..................................                                       [100%] | 34 passed in 0.29s
81	455	11	not-removal	not 		1	0	killed	1.0	FAILED tests/test_dudect_staging_gate.py::test_gate_passes_on_the_tree - Asse... | !!!!!!!!!!!!!!!!!!!!!!!!!! stopping after 1 failures !!!!!!!!!!!!!!!!!!!!!!!!!!! | 1 failed in 0.18s
